start	end	text
396220	397220	ale główni, że podziło,
397220	398220	ale nie powinno,
398220	399220	które w tymacji,
399220	401220	więc, więc dany, ale,
401220	403220	mało ich, to mało no,
403220	404220	czy już,
404220	406220	nie zgubujemy jakieś wiekiem,
406220	407220	bo to, żeby mamy,
407220	408220	to, że rozumiesz,
408220	411220	哈哈哈.
411220	412220	Godzm vantagemina uczyźnijte Я escol等dle i to��kinchne,
412220	416220	by ci nic nie mimo żadmy gana...
416220	419180	Ok, tak to, to, to, to, i,
419180	422220	jak też tam 나타�お,
422220	424720	lik do,
424720	426200	bo, tak tak,
426200	426220	beh,
426220	428220	eksperyments,
428220	429220	ładne tiltkę eksperymentividades,
429220	430220	master 컬�zmi,
430220	432220	nie,
432220	432720	niez Proszę,
432720	434220	trzymała się,
434220	436720	delaź snabę on na gwach.
436720	466720	Pr butycznie, którzy się trzeba oceniać, tak że możec swoje mężę, czy nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie
466720	496720	Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie disagree, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, ignorance, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie? Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie nie, nie, nie nie nie, nie, nie nie, nie, nie, nie, nie nie, nie nie, nie
496720	500480	po prostu pokazać się na ograniczenia, pokazać też mocne stronę,
500480	505480	gdzie jakie ryszymy daje nam jak i dla jakim orzutomików dla młodów, czy dla stary i poniemna.
505480	508960	Wysy, czy jak i w łapie, czy jak i w łapie, czy jak i w całkawie.
508960	512600	Nie zrobić inny do narzędzia i metody, która zawsze działalnie,
512600	515400	i w niczą to stać się innego.
515400	518680	I to, to jest taki bardzo potrzebny realny,
518680	520680	to jest to żołnierny.
520680	524360	To do, czy o to jest jakby na dobra?
524360	535060	Wietnamere to może artifną, dla spł версu jest połójny po 저희,
535060	536340	jeszcze przyjściwałem w stanie,
536340	539820	do niejauł, автомuje他们 to się stało.
539820	541280	Clearly.
541280	544320	Tutaj to trochę wzglęги.
544320	549280	Ale przydatnie takie.
549280	554280	No właśnie nie wiem, że to nie wiem, że wysłałem o komentarzcie.
554280	555280	Tak, tak.
555280	560280	Ja to cały czas trochę nie wiem, nie wiem, czy mnie czuję tego.
560280	563280	No właśnie, że tam nie ma...
564280	568280	Bo co to znaczy, że właśnie, o czym chcemy umywować?
568280	570280	Bo ludzie mają różne wymagające.
570280	576280	Do miejsca, gdzie cała albo coś poczytać albo się nauczyć albo nie wiem, nie?
576280	578280	I teraz, jak to...
578280	581280	No ja to ocenić, że innym słowy.
581280	585280	No, więc w tymi godzinami jest lepiej, a między tymi jest gorzej,
585280	589280	a tymi to w to wolność już tam nie ma coś, bo rozumieć, nie?
589280	593280	Na trochę problem z tymi terianów, bo ludzie...
593280	595280	Jedni się...
595280	599280	Zanim czą, wtedy kiedy jest głośno, nie jest lepiej, bo wtedy się...
599280	603280	Jak jest ci, co to ich to rozprasa, bo cząw jakiś myśli, muszę go do głowy.
603280	609280	Nie z wolą. Tak jest takie mrczące otoczenie, to oni się w to dyskupiale mnie wtedy nie sładwili, nie?
609280	611280	Najcegłej, dóżie mają różne wymagania.
611280	615280	Teraz tak sobie przynajmniej żeby...
615280	621280	No takie go doradzce zrobić, ale taki zbądą właśnie...
621280	626280	Może na... na... na... na... na, to był pytał... celumiczny?
626280	629280	Proszę może, żebyśmy stworzyć taki model, gdzie...
629280	633620	po prostu użytkamy może wpisać, no właśnie, czego szuka i zasłynój bazy dektorów,
633620	636620	które tam zperają dało, nie? I przeporantku jego.
636620	639620	No właśnie, żeby trochę tak, nie, żeby ta wasze,
639620	643780	czy w wykobytanie aktor, jak to robić, bo jak ze nich chcecie te efekty bazy,
643780	647460	nie, nie, nie, wyświetla się jakiś monitorach,
647460	651080	np. przywajściu do, na bydział, czy to, że mój tak,
651080	654820	to, że kurą wersję, jak będzie pokazywać, nie, że możemy to właściwie raczej,
654820	656580	że na to będzie taki, po prostu statystyki,
656580	659780	którą, że w tej stali jest np. głośnę, ale jest mało ludzi,
659780	662780	a np. to są no bo, bo, żeby jakaś wersy do telefon,
662780	666580	żeby wersie do tej stasy, to są no, no, nie z nich jest ok, no, no.
667580	671420	No i wtedy byłoby fajny, no, no i, a te nekstury mając jazro,
671420	672260	czy widzicie?
672260	674380	No, myślę, żeśmy raczej się, kiedy to,
674380	676140	coś coś takiego, coś takiego, coś takiego, coś takiego,
676140	678100	to w tej dłuższej, żeby nawet wiedziałem, którzy, no,
678100	682100	ale żeby, jak już nie są, tak, no, tak sobie myślemy,
682100	684780	ale żeby, czy to jest, to możliwość, że nie wiem,
684880	690560	rok dość, wierze, u, andiał w tym eksPL07,
690560	706200	czy niedrja, mała są aplikację,
706200	717200	W tydzień tygodnie może być trudne, ale postaramy się i lewamy, siły przerobowali.
717200	718200	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no
747200	758760	no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
